"LONGITUDE","LATITUDE","Total_P","SOC","SAND","CLAY","DEPTH","MAT","MAP","PH","NPP","SLOPE","ELEVATION","BIOMES","BEDROCK","SOIL_TYPE","WRB_SOIL_TYPE"
30.5,13.3,53.62916,1.169549,783.6207,136.2069,25,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,38.36418,1.113134,783.6207,136.2069,15,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
7.83,11.33,164.4,7,422,152,5,25,1035,6.5,2377.298,0,661,12,8,10,"Acrisols"
7.83,11.33,150.4,4,450.5495,178.8212,3.5,25,1035,5.9,2377.298,0,661,12,8,10,"Acrisols"
7.83,11.33,141.9,4,445,243,14,25,1035,6.9,2377.298,0,661,12,8,10,"Acrisols"
7.83,11.33,113.1,3,230.7692,469.5305,19.5,25,1035,5.8,2377.298,0,661,12,8,10,"Acrisols"
7.63,11.18,3898,6.9,485.1667,160,7.5,24.9,1072,4.9,2377.298,1,689,12,8,10,"Acrisols"
7.63,11.18,192,13,477,143,5,24.83889,1000,5.5,2377.298,1,689,12,8,10,"Acrisols"
7.63,11.18,194,13.1,522,153,5,24.83889,1000,5.5,2377.298,1,689,12,8,10,"Acrisols"
7.63,11.18,236,23.9,342,138,5,24.83889,1000,5.7,2377.298,1,689,12,8,10,"Acrisols"
7.63,11.18,227,14.6,430,146,5,24.83889,1000,5.8,2377.298,1,689,12,8,10,"Acrisols"
7.63,11.18,171,13.2,407,143,5,24.83889,1000,5.4,2377.298,1,689,12,8,10,"Acrisols"
12,10.5,225,5.28,25,505,13,25.3,857,6.1,1578.857,10,445,12,3,6,"Acrisols"
12,10.5,239,4.23,75,355,3,25.3,857,6.4,1578.857,10,445,12,3,6,"Acrisols"
12,10.5,203,3.13,125,505,28,25.3,857,6.1,1578.857,10,445,12,3,6,"Acrisols"
12,10.5,210,2.96,125,505,52,25.3,857,6.4,1578.857,10,445,12,3,6,"Acrisols"
12,10.5,178,1.74,175,455,89,25.3,857,7.5,1578.857,10,445,12,3,6,"Acrisols"
-84.03,10.43,580,25.83333,412.8333,297,10,28.5,4200,5.173333,9370.043,5,63,12,10,4,"Ferralsols"
-84.02,10.43,1080,26.41667,404,306.1667,10,28.5,4200,5.185,9370.043,2,48,12,10,4,"Ferralsols"
-84,10.43,1650,23.53448,383.6207,316.5517,10,28.5,4200,5.237931,9370.043,1,34,12,10,4,"Andosols"
